
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "816", "815"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "817", "816"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "818", "817"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "819", "818"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "820", "819"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "821", "820"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "822", "821"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "823", "822"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "824", "823"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "825", "824"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "826", "825"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "827", "826"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "828", "827"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "829", "828"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "830", "829"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "831", "830"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "832", "831"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "833", "832"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "834", "833"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "835", "834"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "836", "835"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "837", "836"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "838", "837"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "838", "838"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "839", "838"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "839", "839"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "840", "839"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "840", "840"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "841", "840"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "841", "841"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "842", "841"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "842", "842"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "843", "842"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "843", "843"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "844", "843"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "844", "844"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "845", "844"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "845", "845"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "846", "845"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "846", "846"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "847", "846"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "848", "847"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "848", "848"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "849", "848"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "850", "849"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "851", "850"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "852", "851"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "853", "852"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "853", "853"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "854", "853"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "855", "854"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "856", "855"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "857", "856"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "858", "857"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "859", "858"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "860", "859"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "860", "860"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "860", "860"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "860", "860"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "861", "860"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "861", "861"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "862", "861"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "862", "862"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "863", "862"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "863", "863"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "864", "863"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "864", "864"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "865", "864"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "865", "865"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "866", "865"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "866", "866"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "866", "866"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "867", "866"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "867", "867"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "867", "867"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "867", "867"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "868", "867"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "869", "868"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "870", "869"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "871", "870"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "871", "871"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "872", "871"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "873", "872"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "873", "873"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "874", "873"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "875", "874"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "876", "875"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "877", "876"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "877", "877"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "878", "877"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "879", "878"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "880", "879"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "881", "880"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "881", "881"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "882", "881"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "883", "882"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "884", "883"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "885", "884"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "886", "885"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "887", "886"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "888", "887"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "889", "888"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "890", "889"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "891", "890"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "892", "891"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "893", "892"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "894", "893"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "895", "894"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "896", "895"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "897", "896"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "898", "897"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "899", "898"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "900", "899"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "901", "900"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "902", "901"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "903", "902"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "904", "903"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "905", "904"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "906", "905"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "907", "906"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "908", "907"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "909", "908"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "910", "909"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "911", "910"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "912", "911"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "913", "912"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "914", "913"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "915", "914"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "916", "915"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "917", "916"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "918", "917"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "919", "918"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "920", "919"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "921", "920"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "922", "921"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "923", "922"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "924", "923"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "924", "924"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "925", "924"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "925", "925"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "926", "925"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "926", "926"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "927", "926"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "927", "927"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "928", "927"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "929", "928"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "930", "929"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "931", "930"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "932", "931"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "933", "932"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "934", "933"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "935", "934"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "936", "935"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "937", "936"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "938", "937"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "939", "938"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "940", "939"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "941", "940"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "942", "941"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "943", "942"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "944", "943"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "945", "944"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "946", "945"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "947", "946"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "948", "947"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "949", "948"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "950", "949"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "951", "950"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "952", "951"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "953", "952"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "954", "953"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "955", "954"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "956", "955"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "957", "956"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "957", "957"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "958", "957"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "959", "958"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "960", "959"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "961", "960"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "962", "961"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "963", "962"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "964", "963"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "965", "964"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "966", "965"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "967", "966"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "968", "967"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "969", "968"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "970", "969"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "971", "970"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "972", "971"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "972", "972"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "973", "972"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "974", "973"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "974", "974"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "975", "974"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "976", "975"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "977", "976"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "977", "977"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "978", "977"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "979", "978"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "980", "979"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "981", "980"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "982", "981"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "983", "982"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "984", "983"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "985", "984"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "986", "985"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "987", "986"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "988", "987"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "989", "988"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "989", "989"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "990", "989"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "991", "990"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "992", "991"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "993", "992"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "994", "993"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "995", "994"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "996", "995"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "997", "996"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "998", "997"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "999", "998"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1000", "999"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1001", "1000"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1002", "1001"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1003", "1002"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1004", "1003"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1005", "1004"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1006", "1005"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1007", "1006"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1007", "1007"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1008", "1007"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1009", "1008"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1010", "1009"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1011", "1010"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1012", "1011"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1013", "1012"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1014", "1013"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1015", "1014"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1016", "1015"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1017", "1016"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1018", "1017"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1019", "1018"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1020", "1019"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1021", "1020"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1022", "1021"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1023", "1022"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1024", "1023"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1025", "1024"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1026", "1025"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1027", "1026"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1028", "1027"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1029", "1028"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1030", "1029"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1031", "1030"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1032", "1031"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1033", "1032"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1034", "1033"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1035", "1034"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1036", "1035"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1037", "1036"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1038", "1037"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1039", "1038"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1040", "1039"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1041", "1040"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1042", "1041"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1043", "1042"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1044", "1043"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1045", "1044"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1046", "1045"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1046", "1046"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1047", "1046"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1048", "1047"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1049", "1048"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1050", "1049"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1051", "1050"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1052", "1051"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1053", "1052"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1054", "1053"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1054", "1054"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1055", "1054"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1056", "1055"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1057", "1056"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1058", "1057"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1059", "1058"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1060", "1059"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1061", "1060"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1062", "1061"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1063", "1062"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1064", "1063"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1065", "1064"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1066", "1065"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1067", "1066"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1068", "1067"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1069", "1068"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1070", "1069"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1071", "1070"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1072", "1071"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1073", "1072"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1074", "1073"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1075", "1074"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1075", "1075"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1076", "1075"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1077", "1076"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1078", "1077"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1079", "1078"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1080", "1079"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1080", "1080"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1081", "1080"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1082", "1081"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1083", "1082"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1084", "1083"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1085", "1084"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1086", "1085"
