"File","Action"
"~/Documents/Projects/Character Sheets/3.5/Barbarian/Character Info.ai","Checking file"
"~/Documents/Projects/Character Sheets/3.5/Barbarian/Combat.ai","Checking file"
"~/Documents/Projects/Character Sheets/3.5/Barbarian/Cover.ai","Checking file"
"~/Documents/Projects/Character Sheets/3.5/Barbarian/Inventory.ai","Checking file"
"~/Documents/Projects/Character Sheets/3.5/Core/Animal Companion.ai","Checking file"
"~/Documents/Projects/Character Sheets/3.5/Core/Bard.ai","Checking file"
